"","GID_1","NAME_1","weighted.sero_0_5_mea","weighted.sero_10_15_mea","weighted.sero_5_10_mea","weighted.sero_0_5_dip","weighted.sero_10_15_dip","weighted.sero_5_10_dip","weighted.sero.UC_0_5_mea","weighted.sero.UC_10_15_mea","weighted.sero.UC_5_10_mea","weighted.sero.UC_0_5_dip","weighted.sero.UC_10_15_dip","weighted.sero.UC_5_10_dip","weighted.sero.LC_0_5_mea","weighted.sero.LC_10_15_mea","weighted.sero.LC_5_10_mea","weighted.sero.LC_0_5_dip","weighted.sero.LC_10_15_dip","weighted.sero.LC_5_10_dip","pop_risk_adm1_0_5_mea","pop_risk_adm1_10_15_mea","pop_risk_adm1_5_10_mea","pop_risk_adm1_0_5_dip","pop_risk_adm1_10_15_dip","pop_risk_adm1_5_10_dip","pop_risk_UC_adm1_0_5_mea","pop_risk_UC_adm1_10_15_mea","pop_risk_UC_adm1_5_10_mea","pop_risk_UC_adm1_0_5_dip","pop_risk_UC_adm1_10_15_dip","pop_risk_UC_adm1_5_10_dip","pop_risk_LC_adm1_0_5_mea","pop_risk_LC_adm1_10_15_mea","pop_risk_LC_adm1_5_10_mea","pop_risk_LC_adm1_0_5_dip","pop_risk_LC_adm1_10_15_dip","pop_risk_LC_adm1_5_10_dip","total_pop_0_5_mea","total_pop_10_15_mea","total_pop_5_10_mea","total_pop_0_5_dip","total_pop_10_15_dip","total_pop_5_10_dip"
"1","NGA.1_1","Abia",0.837993751954836,0.970977787517223,0.929211639496152,0.851391742153591,0.920474059889298,0.890796914122685,0.857867640476166,0.97595132396671,0.938166778893719,0.870014762761278,0.930537021957742,0.903888016918367,0.815981845765107,0.964997402545195,0.919067227112724,0.830621268397384,0.909091366619343,0.876164579512045,72992.7510590221,15174.9520396834,32525.122997473,66956.217437206,41582.0236932934,50175.5341497168,64038.4680303342,12574.4205628577,28410.5057314104,58565.5194018746,36320.3653391479,44160.5660734468,82910.3289810386,18301.9381432834,37186.1754382929,76314.4615701241,47533.7348027238,56898.6518990729,450555.160308838,522873.714355469,459469.929321289,450555.160308838,522873.714355469,459469.929321289
"2","NGA.2_1","Adamawa",0.808118929562697,0.97598474747274,0.928794970672186,0.768960014503012,0.907450565411024,0.851008215838975,0.847893266691934,0.982768681503702,0.944743066392498,0.810507450049241,0.926251974030164,0.878650552979373,0.760864170339379,0.966541439827971,0.908552637511624,0.721232911519188,0.884311319072538,0.818182109824722,152216.17835346,13852.4588571338,48478.5493640024,183280.31816292,53384.2912307308,101438.137607221,120663.834078141,9939.35542643933,37620.600804223,150321.403326658,42539.2776687389,82618.3938581127,189702.621604968,19299.5400600459,62260.1453640415,221141.464150499,66731.4528949742,123787.148847897,793283.975363255,576819.204437256,680830.410739899,793283.975363255,576819.204437256,680830.410739899
"3","NGA.3_1","Akwa Ibom",0.823598311615788,0.96587584728123,0.919838912230867,0.846256921395562,0.913305954513398,0.883869466128129,0.85053844960213,0.972900657153882,0.932689429889399,0.870384733074591,0.927015273500224,0.901477784196574,0.792998300670993,0.95706516910965,0.90472973973593,0.818475957074253,0.897222931420611,0.863492503285522,127632.711544025,26747.9666218307,60962.3571323069,111238.425114568,67954.4911810113,88317.0535341528,108140.591643914,21241.6209684477,51189.5625179088,93781.1203890556,57208.5421258145,74925.9606178572,149772.875881083,33654.1520322457,72452.8545200512,131338.911896268,80561.0507755998,103813.695616411,723534.523468018,783842.659545898,760498.127319336,723534.523468018,783842.659545898,760498.127319336
"4","NGA.4_1","Anambra",0.840010118764158,0.974159708646036,0.933508477817212,0.831358530331547,0.916043536458815,0.880058032535704,0.85958260390509,0.978379539193925,0.942102511660862,0.851755108433075,0.926766501663879,0.894532844050458,0.818330947182716,0.969135829167082,0.923742231598003,0.808790386762968,0.903909200695658,0.863896576021331,105372.978154098,19957.7176124485,46089.0759792042,111071.111260178,64843.6725477469,83138.6358754198,92482.0938478802,16698.5366189563,40132.0597193124,97637.4605685917,56561.8034078333,73105.316351553,119651.37411142,23837.9048203443,52858.6196631545,125935.004406801,74215.6120223599,94341.0654900986,658622.766265869,772348.78427124,693157.179534912,658622.766265869,772348.78427124,693157.179534912
"5","NGA.5_1","Bauchi",0.764438647158867,0.975110752898758,0.918054418647408,0.636342287568836,0.862081204699801,0.767225156397911,0.797029209494186,0.980325268505518,0.931190009945806,0.674693242463895,0.881165067389878,0.794832820968878,0.728563376986801,0.968542066839782,0.90267318259982,0.596169512436321,0.840465043176759,0.737105673009066,332991.03045726,22582.2002316232,92754.5023294009,514068.861193252,125134.755523316,263478.694235085,286920.803723003,17851.0311824432,77886.2786427213,459855.706804816,107819.824030727,232229.478041977,383704.541134819,28542.018270276,110164.579495934,570857.352286381,144747.260705447,297571.047306939,1413606.37660217,907307.486633301,1131903.64627838,1413606.37660217,907307.486633301,1131903.64627838
"6","NGA.6_1","Bayelsa",0.846651376197172,0.97192315350343,0.932463310116239,0.858745971545706,0.92234429367531,0.894738460706043,0.873117286855964,0.97808451304055,0.944749683054274,0.883694237961531,0.936554810540643,0.913263934212973,0.815828299314472,0.964062186411603,0.917638589651561,0.829370115752219,0.905189494622036,0.872706161727719,47822.8911755968,9274.57328911491,22461.1099114458,44051.1030576315,25651.8672677254,35007.5049221212,39569.303149102,7239.30267585044,18374.9520993114,36270.8035007353,20957.733253785,28846.3694368479,57435.2933928719,11871.272153618,27391.4622330755,53212.1787814558,31318.5806252624,42334.9278355877,311857.322156906,330328.168807983,332576.410690308,311857.322156906,330328.168807983,332576.410690308
"7","NGA.7_1","Benue",0.812966077052899,0.971857631605012,0.924376434481955,0.891575035754749,0.952896481147144,0.928091653049557,0.841585178565879,0.977446209899673,0.937106534845877,0.912480787754478,0.962504107155129,0.942246676303513,0.78056481155673,0.964911843063888,0.909298716487279,0.866349462523292,0.940939083731427,0.910747616590642,211653.235555213,23118.3764244069,71866.229378217,122696.963929673,38694.5712766806,68335.6004275661,179266.995997919,18527.4743766508,59768.6205641622,99039.3836215864,30802.1042504479,54883.8656269889,248319.486095695,28824.1987562124,86194.8150840439,151242.984400424,48517.3271525505,84817.9031854696,1131630.19959259,821479.418502808,950315.273895264,1131630.19959259,821479.418502808,950315.273895264
"8","NGA.8_1","Borno",0.798706442136725,0.979879746457108,0.932616370015327,0.755302801643077,0.918735013514223,0.855168892357939,0.855264060501247,0.986980012040065,0.953120617589301,0.816060585854428,0.941196517002945,0.8929556081476,0.725906338195026,0.968650292346337,0.903017294346687,0.680566850750571,0.887471534883696,0.805175619495257,249020.12225623,15985.1995531295,69573.6663514621,302714.736116823,64563.6508947676,149538.265639494,179052.731401025,10344.1591963647,48403.0099201609,227551.322975678,46718.3680425856,110523.443234329,339081.080869428,24906.8100313824,100134.742021474,395170.529664019,89401.9534324862,201156.370611829,1237099.31355762,794483.007833481,1032501.01496887,1237099.31355762,794483.007833481,1032501.01496887
"9","NGA.9_1","Cross River",0.818265222375219,0.967819115988503,0.920854050722415,0.88835960595262,0.94245548562976,0.919789153120319,0.847174375329491,0.9745638900135,0.934324610024597,0.910020458669881,0.953896401660832,0.935223222811397,0.785312287672576,0.959326047454222,0.90486585516211,0.862209355620771,0.928336123070658,0.90100066751472,94829.0736184752,16964.265479123,42045.0895646299,58253.8756988634,30334.7918688373,42610.8003238786,79744.2988187474,13408.7342788031,34889.0584914601,46951.2586444378,24303.6729969589,34411.6840275768,112023.890767417,21441.4162403154,50538.5768554593,71899.0571345291,37777.8631891594,52591.8993855699,521799.26625967,527153.495008469,531234.888814926,521799.26625967,527153.495008469,531234.888814926
"10","NGA.10_1","Delta",0.843632685182921,0.974226744144562,0.934454926121924,0.860083974065162,0.929854568533894,0.900492613118245,0.86666760374553,0.979125432666083,0.944717672360113,0.881641487420085,0.941173452415684,0.915923595948997,0.817468434745711,0.968196439086288,0.922419637434396,0.835252613406798,0.916500864857565,0.882527213813978,122164.009873466,20828.3025795575,50843.1957528804,109311.225263125,56687.0665989767,77187.700779737,104167.678466171,16869.4947618133,42882.4019803237,92469.1359977375,47539.866118171,65217.9151909269,142605.172737216,25701.6107523883,60178.9475108333,128711.050553906,67478.6787370937,91123.4286622716,781263.079284668,808136.259399414,775698.198883057,781263.079284668,808136.259399414,775698.198883057
