"","GID_2","NAME_2","weighted.sero_0_5_mea","weighted.sero_5_10_mea","weighted.sero_10_15_mea","weighted.sero_0_5_dip","weighted.sero_5_10_dip","weighted.sero_10_15_dip","weighted.sero_NA_NA","weighted.sero.UC_0_5_mea","weighted.sero.UC_5_10_mea","weighted.sero.UC_10_15_mea","weighted.sero.UC_0_5_dip","weighted.sero.UC_5_10_dip","weighted.sero.UC_10_15_dip","weighted.sero.UC_NA_NA","weighted.sero.LC_0_5_mea","weighted.sero.LC_5_10_mea","weighted.sero.LC_10_15_mea","weighted.sero.LC_0_5_dip","weighted.sero.LC_5_10_dip","weighted.sero.LC_10_15_dip","weighted.sero.LC_NA_NA","pop_risk_adm2_0_5_mea","pop_risk_adm2_5_10_mea","pop_risk_adm2_10_15_mea","pop_risk_adm2_0_5_dip","pop_risk_adm2_5_10_dip","pop_risk_adm2_10_15_dip","pop_risk_adm2_NA_NA","pop_risk_UC_adm2_0_5_mea","pop_risk_UC_adm2_5_10_mea","pop_risk_UC_adm2_10_15_mea","pop_risk_UC_adm2_0_5_dip","pop_risk_UC_adm2_5_10_dip","pop_risk_UC_adm2_10_15_dip","pop_risk_UC_adm2_NA_NA","pop_risk_LC_adm2_0_5_mea","pop_risk_LC_adm2_5_10_mea","pop_risk_LC_adm2_10_15_mea","pop_risk_LC_adm2_0_5_dip","pop_risk_LC_adm2_5_10_dip","pop_risk_LC_adm2_10_15_dip","pop_risk_LC_adm2_NA_NA","total_pop_0_5_mea","total_pop_5_10_mea","total_pop_10_15_mea","total_pop_0_5_dip","total_pop_5_10_dip","total_pop_10_15_dip","total_pop_NA_NA"
"1","NGA.1.1_1","Aba North",0.838216835940381,0.928413782271041,0.970211903945935,0.843333840705078,0.883160340269301,0.913902738768766,NA,0.858410029028826,0.937582524371181,0.975432795144185,0.862642369501932,0.896768370010254,0.924516891040251,NA,0.815810273097485,0.918012555983136,0.96390708146778,0.821877669640305,0.868024876068292,0.901952752930744,NA,12136.4485153961,5434.12376948845,2664.6288546965,11752.5874057389,8869.32139040343,7701.64182936366,NA,10621.6206301592,4738.12276589685,2197.60547365061,10304.1241678416,7836.33319494937,6752.17609783759,NA,13817.3162245328,6223.68288849278,3228.61293305248,13362.1598045651,10018.2574340474,8770.6016252303,NA,75016.7583007812,75910.1953125,89452.80859375,75016.7583007812,75910.1953125,89452.80859375,NA
"2","NGA.1.2_1","Aba South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","NGA.1.3_1","Arochukw",0.831825897424676,0.926534236594119,0.969949871937318,0.86989851715426,0.905281720937886,0.931805579402977,NA,0.852986612382656,0.936126924790784,0.97519707835974,0.887882103721178,0.917927440263883,0.941366376265229,NA,0.808356954399546,0.915628243523311,0.963620045080737,0.849522784820722,0.890919774321863,0.920815054643881,NA,3502.67722292141,1677.74502852279,728.162737453462,2709.71269448559,2163.09086626839,1652.46004534164,NA,3061.94851874504,1458.67584328601,601.01452082809,2335.15621944112,1874.29930203907,1420.78662282138,NA,3991.48097404205,1926.80628927038,881.544581347129,3134.09202787946,2491.07608574837,1918.77806495006,NA,20827.6849365234,22837.1005859375,24231.6018066406,20827.6849365234,22837.1005859375,24231.6018066406,NA
"4","NGA.1.4_1","Bende",0.837350173343535,0.929949866369471,0.971728255619654,0.862516228477604,0.900503018291113,0.928877064887715,NA,0.856715405870884,0.938578624056276,0.976415663610456,0.880032466639338,0.912758099760732,0.938123250891994,NA,0.815975645791679,0.920210044770562,0.966129867283292,0.842903988765744,0.88674147995979,0.918368153054571,NA,5159.95350700783,2325.17712121795,1007.98104741678,4361.57777482299,3302.6076255609,2535.76750218762,NA,4545.60486890834,2038.76239339295,840.859473569948,3805.88720699274,2895.82417526635,2206.11043795346,NA,5838.04564315736,2648.47144162535,1207.58207886409,4983.76254539292,3759.39496374823,2910.44491205225,NA,31724.3099060059,33193.0433349609,35653.3022460938,31724.3099060059,33193.0433349609,35653.3022460938,NA
"5","NGA.1.5_1","Ikwuano",0.837493299527311,0.929097459050301,0.97096561130031,0.855999972346772,0.894385214945322,0.923466059448824,NA,0.856981750566993,0.937838416688931,0.975864632168686,0.873938680882212,0.90694206366418,0.933091618086585,NA,0.815965723477736,0.919230258538589,0.965094031385348,0.8359931316421,0.880359565620234,0.912584210689657,NA,3611.90891760389,1740.41121209372,767.765300216792,3200.5756224391,2592.47628660352,2023.81060789046,NA,3178.75440830817,1525.85105000445,638.218979587091,2801.86602375185,2284.24924697783,1769.27899044491,NA,4090.38545845843,1982.61672648766,923.029299841007,3645.25197205478,2936.75728154831,2311.56269269963,NA,22226.2153320312,24546.5280761719,26443.30859375,22226.2153320312,24546.5280761719,26443.30859375,NA
"6","NGA.1.6_1","Isiala Ngwa North",0.840890013583161,0.930824849093985,0.971735353157497,0.849366488135823,0.889361769433619,0.919753862279727,NA,0.85983433262064,0.939282204310933,0.976463717851636,0.867747403872672,0.902278742571908,0.929684276816229,NA,0.819964955730513,0.921285332217595,0.966077052321861,0.828940551704003,0.874976226042246,0.90855770803929,NA,4526.04137229881,2034.54756858428,958.649101124586,4284.91964650042,3254.04050505256,2721.6999463294,NA,3987.1514278988,1785.8037455795,798.277645253096,3762.05626778221,2874.1324607943,2384.89110444794,NA,5121.27539683523,2315.11943018667,1150.56110484432,4865.95566718215,3677.14145888275,3101.43875072539,NA,28445.9918212891,29411.5378417969,33916.896484375,28445.9918212891,29411.5378417969,33916.896484375,NA
"7","NGA.1.7_1","Isiala Ngwa South",0.84042269484136,0.930165745277271,0.971265224002291,0.846790683464958,0.886791155986995,0.917371003558339,NA,0.859679469649461,0.938808705545657,0.976144324603403,0.865517661842532,0.899969753191949,0.927564571978179,NA,0.819124041891162,0.920402347291258,0.965409654700304,0.825986396129242,0.872125355287596,0.905887107949939,NA,3561.6685009153,1483.28748122244,741.116244286898,3419.53886366951,2404.56867127559,2131.13516238729,NA,3131.86898653542,1299.71002603656,615.276366040342,3001.56408374439,2124.6537737544,1868.2265827695,NA,4037.04149489605,1690.66316045528,892.140826124469,3883.87791748387,2716.07193949106,2427.32336248875,NA,22319.3924560547,21240.11328125,25791.6137695312,22319.3924560547,21240.11328125,25791.6137695312,NA
"8","NGA.1.8_1","Isuikwua",0.839448151800207,0.931480860144422,0.972600395209068,0.856998538575862,0.896989573079046,0.926719141874141,NA,0.858202413542519,0.939773084643731,0.97704215513892,0.874355514876289,0.909103436992165,0.935840619090212,NA,0.818780338628848,0.922140009051976,0.96731772179985,0.837693885525101,0.883469761750006,0.916415491092532,NA,2616.94476701723,1154.93555307217,562.026700513862,2330.87896742254,1736.30907566723,1503.153027847,NA,2311.25618307305,1015.16460865438,470.916347028917,2047.96569790901,1532.1218639213,1316.05128741397,NA,2953.82363905096,1312.38179430283,670.386055647977,2645.53875705888,1964.19446371569,1714.50377163405,NA,16299.686340332,16855.6633300781,20512.2192382812,16299.686340332,16855.6633300781,20512.2192382812,NA
"9","NGA.1.9_1","Oboma Ngwa",0.836875007822525,0.927829825819566,0.969992745109379,0.845977609418009,0.885343046914247,0.915664026338333,NA,0.857076287368477,0.936999303131786,0.975227395517165,0.864835888007848,0.898570883788538,0.925966096960155,NA,0.814485105233129,0.917439670670718,0.963677394998133,0.825026373497437,0.870640768320115,0.904075303036414,NA,1755.44379145619,778.727790770354,385.286918378114,1657.4875847242,1237.16697080017,1082.85637986425,NA,1538.05091814447,679.787655306478,318.075094712335,1454.54720369375,1094.43648271748,950.579933476076,NA,1996.38918533613,890.839236484692,466.374701706191,1882.95099489305,1395.80692226094,1231.65317934518,NA,10761.3417663574,10790.1608886719,12839.7922363281,10761.3417663574,10790.1608886719,12839.7922363281,NA
"10","NGA.1.10_1","Ohafia Abia",0.833408604456923,0.928004344952072,0.970876348759808,0.872859784319096,0.908273845159322,0.934565911779539,NA,0.854048916116003,0.937282797836485,0.97585711301326,0.890540754318423,0.920687443332813,0.943857656480103,NA,0.810547907342307,0.917472435156196,0.964892960326474,0.852797761137251,0.894140677258756,0.923858241222812,NA,6366.74238419613,2894.75907805885,1277.02963015086,4859.00845762549,3688.07144325197,2869.18933310513,NA,5577.91684711187,2521.69648560634,1058.63038206218,4183.28219504489,3188.95276754623,2461.75987995877,NA,7240.42597858236,3318.21993094798,1539.3924862039,5625.73313081878,4256.3295701439,3338.70506992192,NA,38217.7144470215,40207.4135742188,43848.5415039062,38217.7144470215,40207.4135742188,43848.5415039062,NA
