"","NAME_1","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm1","pop_risk_UC_adm1","pop_risk_LC_adm1","total_pop"
"1","Abia","0_5","mea",0.837993751954836,0.857867640476166,0.815981845765107,72992.7510590221,64038.4680303342,82910.3289810386,450555.160308838
"2","Abia","10_15","mea",0.970977787517223,0.97595132396671,0.964997402545195,15174.9520396834,12574.4205628577,18301.9381432834,522873.714355469
"3","Abia","5_10","mea",0.929211639496152,0.938166778893719,0.919067227112724,32525.122997473,28410.5057314104,37186.1754382929,459469.929321289
"4","Adamawa","0_5","mea",0.808118929562697,0.847893266691934,0.760864170339379,152216.17835346,120663.834078141,189702.621604968,793283.975363255
"5","Adamawa","10_15","mea",0.97598474747274,0.982768681503702,0.966541439827971,13852.4588571338,9939.35542643933,19299.5400600459,576819.204437256
"6","Adamawa","5_10","mea",0.928794970672186,0.944743066392498,0.908552637511624,48478.5493640024,37620.600804223,62260.1453640415,680830.410739899
"7","Akwa Ibom","0_5","mea",0.823598311615788,0.85053844960213,0.792998300670993,127632.711544025,108140.591643914,149772.875881083,723534.523468018
"8","Akwa Ibom","10_15","mea",0.96587584728123,0.972900657153882,0.95706516910965,26747.9666218307,21241.6209684477,33654.1520322457,783842.659545898
"9","Akwa Ibom","5_10","mea",0.919838912230867,0.932689429889399,0.90472973973593,60962.3571323069,51189.5625179088,72452.8545200512,760498.127319336
"10","Anambra","0_5","mea",0.840010118764158,0.85958260390509,0.818330947182716,105372.978154098,92482.0938478802,119651.37411142,658622.766265869
"11","Anambra","10_15","mea",0.974159708646036,0.978379539193925,0.969135829167082,19957.7176124485,16698.5366189563,23837.9048203443,772348.78427124
"12","Anambra","5_10","mea",0.933508477817212,0.942102511660862,0.923742231598003,46089.0759792042,40132.0597193124,52858.6196631545,693157.179534912
"13","Bauchi","0_5","mea",0.764438647158867,0.797029209494186,0.728563376986801,332991.03045726,286920.803723003,383704.541134819,1413606.37660217
"14","Bauchi","10_15","mea",0.975110752898758,0.980325268505518,0.968542066839782,22582.2002316232,17851.0311824432,28542.018270276,907307.486633301
"15","Bauchi","5_10","mea",0.918054418647408,0.931190009945806,0.90267318259982,92754.5023294009,77886.2786427213,110164.579495934,1131903.64627838
"16","Bayelsa","0_5","mea",0.846651376197172,0.873117286855964,0.815828299314472,47822.8911755968,39569.303149102,57435.2933928719,311857.322156906
"17","Bayelsa","10_15","mea",0.97192315350343,0.97808451304055,0.964062186411603,9274.57328911491,7239.30267585044,11871.272153618,330328.168807983
"18","Bayelsa","5_10","mea",0.932463310116239,0.944749683054274,0.917638589651561,22461.1099114458,18374.9520993114,27391.4622330755,332576.410690308
"19","Benue","0_5","mea",0.812966077052899,0.841585178565879,0.78056481155673,211653.235555213,179266.995997919,248319.486095695,1131630.19959259
"20","Benue","10_15","mea",0.971857631605012,0.977446209899673,0.964911843063888,23118.3764244069,18527.4743766508,28824.1987562124,821479.418502808
"21","Benue","5_10","mea",0.924376434481955,0.937106534845877,0.909298716487279,71866.229378217,59768.6205641622,86194.8150840439,950315.273895264
"22","Borno","0_5","mea",0.798706442136725,0.855264060501247,0.725906338195026,249020.12225623,179052.731401025,339081.080869428,1237099.31355762
"23","Borno","10_15","mea",0.979879746457108,0.986980012040065,0.968650292346337,15985.1995531295,10344.1591963647,24906.8100313824,794483.007833481
"24","Borno","5_10","mea",0.932616370015327,0.953120617589301,0.903017294346687,69573.6663514621,48403.0099201609,100134.742021474,1032501.01496887
"25","Cross River","0_5","mea",0.818265222375219,0.847174375329491,0.785312287672576,94829.0736184752,79744.2988187474,112023.890767417,521799.26625967
"26","Cross River","10_15","mea",0.967819115988503,0.9745638900135,0.959326047454222,16964.265479123,13408.7342788031,21441.4162403154,527153.495008469
"27","Cross River","5_10","mea",0.920854050722415,0.934324610024597,0.90486585516211,42045.0895646299,34889.0584914601,50538.5768554593,531234.888814926
"28","Delta","0_5","mea",0.843632685182921,0.86666760374553,0.817468434745711,122164.009873466,104167.678466171,142605.172737216,781263.079284668
